1,4,11,12,15,33,39,58,66,71,79.0,87.0,95.0,98.0,100.0,109.0,125.0,127.0,135.0,143.0,152.0,158.0,172.0,180.0,199.0,200.0,202.0,204.0,208.0,216.0,227.0,234.0,237.0,240.0,273.0,282.0,286.0,302.0,321.0,367.0,385.0,404.0,410.0,423.0,427.0,448.0,467.0,469.0,476.0,480.0,498.0,502.0,509.0,510.0,531.0,583.0,591.0,642.0,661.0,684.0,732.0,770.0,939.0,941.0,943.0,945.0,946.0,947.0,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,7,9,21,22,28,50,71,79,81.0,87.0,97.0,99.0,100.0,111.0,112.0,118.0,121.0,125.0,133.0,134.0,168.0,169.0,170.0,175.0,181.0,197.0,211.0,212.0,228.0,230.0,235.0,237.0,238.0,241.0,274.0,283.0,284.0,286.0,288.0,304.0,318.0,326.0,338.0,367.0,409.0,412.0,418.0,424.0,430.0,432.0,435.0,456.0,462.0,473.0,474.0,475.0,483.0,484.0,496.0,511.0,514.0,523.0,539.0,546.0,582.0,588.0,603.0,640.0,660.0,678.0,740.0,770.0,820.0,822.0,826.0,834.0,866.0,895.0,946.0,1059.0,1063.0,1078.0,1128.0,1163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,14,25,28,59,70,82,100,161,162.0,191.0,210.0,211.0,216.0,244.0,274.0,275.0,280.0,318.0,463.0,495.0,566.0,647.0,712.0,739.0,1028.0,1242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,13,23,33,48,56,79,83,96,98.0,100.0,117.0,121.0,124.0,137.0,174.0,176.0,177.0,183.0,185.0,192.0,218.0,229.0,237.0,240.0,273.0,279.0,282.0,284.0,302.0,317.0,357.0,479.0,508.0,558.0,596.0,628.0,644.0,654.0,657.0,673.0,684.0,696.0,741.0,772.0,847.0,922.0,980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,134,199,204,211,213,243,258,300,321,331.0,443.0,480.0,482.0,483.0,495.0,498.0,499.0,525.0,538.0,606.0,683.0,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,315,316,331,339,340,345,750,891,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,268,275,283,294,331,475,740,1011,1355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,21,22,28,29,62,64,69,71,78.0,82.0,94.0,102.0,112.0,118.0,126.0,133.0,135.0,138.0,142.0,143.0,151.0,163.0,167.0,168.0,172.0,181.0,196.0,200.0,204.0,210.0,225.0,227.0,228.0,231.0,241.0,265.0,269.0,313.0,323.0,343.0,386.0,389.0,393.0,400.0,403.0,405.0,415.0,416.0,417.0,423.0,432.0,435.0,441.0,449.0,451.0,457.0,465.0,496.0,498.0,526.0,542.0,548.0,554.0,584.0,588.0,616.0,622.0,629.0,665.0,678.0,768.0,842.0,871.0,1028.0,1033.0,1050.0,1060.0,1091.0,1183.0,1263.0,1443.0,1469.0,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,56,100,117,118,121,147,200,219,222.0,245.0,264.0,273.0,281.0,294.0,300.0,322.0,324.0,325.0,328.0,332.0,335.0,343.0,443.0,447.0,546.0,559.0,564.0,597.0,665.0,672.0,682.0,685.0,743.0,760.0,826.0,827.0,829.0,831.0,834.0,840.0,872.0,895.0,930.0,982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,50,56,62,64,70,72,83,99,109.0,121.0,132.0,135.0,161.0,163.0,164.0,168.0,172.0,178.0,181.0,185.0,196.0,200.0,204.0,209.0,210.0,215.0,222.0,227.0,228.0,230.0,257.0,269.0,286.0,380.0,395.0,401.0,419.0,433.0,472.0,483.0,505.0,529.0,580.0,588.0,631.0,660.0,708.0,736.0,739.0,831.0,1028.0,1065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,16,23,28,32,50,58,71,82,93.0,105.0,114.0,115.0,132.0,134.0,137.0,172.0,174.0,176.0,182.0,183.0,186.0,190.0,191.0,195.0,199.0,200.0,205.0,208.0,210.0,211.0,235.0,236.0,269.0,271.0,272.0,319.0,383.0,386.0,408.0,434.0,443.0,469.0,480.0,482.0,495.0,498.0,502.0,511.0,523.0,527.0,529.0,530.0,548.0,604.0,616.0,628.0,647.0,650.0,654.0,655.0,737.0,768.0,771.0,961.0,1003.0,1018.0,1118.0,1140.0,1149.0,1203.0,1230.0,1232.0,1487.0,1523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25,107,111,117,118,121,123,126,151,225.0,237.0,243.0,291.0,323.0,368.0,369.0,409.0,412.0,477.0,546.0,596.0,685.0,756.0,827.0,831.0,926.0,934.0,974.0,988.0,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
